"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","DEWP","DEWP_ATTRIBUTES","FRSHTT","FRSHTT_ATTRIBUTES","GUST","GUST_ATTRIBUTES","MAX","MAX_ATTRIBUTES","MIN","MIN_ATTRIBUTES","MXSPD","MXSPD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SLP","SLP_ATTRIBUTES","SNDP","SNDP_ATTRIBUTES","STP","STP_ATTRIBUTES","TEMP","TEMP_ATTRIBUTES","VISIB","VISIB_ATTRIBUTES","WDSP","WDSP_ATTRIBUTES"
"13461099999","BAR, MJ","42.1","19.1","6.0","2002-01-01","   9.3"," 5","000000",," 46.6",,"  41.0"," ","  34.3","*"," 21.4",," 0.08","E","1026.6"," 5","999.9",,"025.9"," 5","  36.3"," 5"," 13.0"," 5"," 18.3"," 5"
"13461099999","BAR, MJ","42.1","19.1","6.0","2002-01-02","  19.8"," 6","000000",,"999.9",,"  47.1"," ","  28.4"," ","  5.8",," 0.00","I","1031.1"," 5","999.9",,"030.3"," 5","  37.3"," 6"," 12.4"," 6","  3.9"," 6"
"13461099999","BAR, MJ","42.1","19.1","6.0","2002-01-04","   8.6"," 6","000000",," 35.0",,"  37.2"," ","  27.3"," "," 17.5",," 0.00","I","1028.1"," 6","999.9",,"027.4"," 6","  32.7"," 6"," 12.4"," 6"," 13.0"," 6"
"13461099999","BAR, MJ","42.1","19.1","6.0","2002-01-05","   9.6"," 5","000000",," 33.0",,"  44.1"," ","  29.1"," "," 15.5",," 0.00","I","1030.1"," 5","999.9",,"029.4"," 5","  35.9"," 5"," 13.7"," 5"," 10.5"," 5"
"13461099999","BAR, MJ","42.1","19.1","6.0","2002-01-06","  22.7"," 6","000000",," 40.8",,"  50.7"," ","  37.9"," "," 17.5",," 0.00","I","1027.5"," 6","999.9",,"026.8"," 6","  45.0"," 6"," 14.0"," 6","  9.4"," 6"
"13461099999","BAR, MJ","42.1","19.1","6.0","2002-01-07","  22.1"," 5","000000",,"999.9",,"  54.9"," ","  33.1"," "," 13.6",," 0.00","I","1024.6"," 5","999.9",,"023.9"," 5","  45.9"," 5"," 14.9"," 5","  6.6"," 5"
"13461099999","BAR, MJ","42.1","19.1","6.0","2002-01-09","  29.7"," 5","000000",," 25.3",,"  56.5"," ","  38.8"," "," 11.7",," 0.00","I","1035.0"," 5","999.9",,"034.3"," 5","  46.5"," 5"," 12.4"," 5","  6.6"," 5"
"13461099999","BAR, MJ","42.1","19.1","6.0","2002-01-10","  39.3"," 4","000000",,"999.9",,"  58.6"," ","  35.6","*","  3.9",," 0.00","I","1033.9"," 4","999.9",,"033.2"," 4","  46.9"," 4"," 12.4"," 4","  3.4"," 4"
"13461099999","BAR, MJ","42.1","19.1","6.0","2002-01-11","  39.9"," 6","000000",,"999.9",,"  58.1"," ","  37.0"," ","  3.9",," 0.00","I","1032.6"," 6","999.9",,"031.9"," 6","  47.6"," 6"," 12.4"," 6","  2.9"," 6"
"13461099999","BAR, MJ","42.1","19.1","6.0","2002-01-12","  40.7"," 6","000000",,"999.9",,"  59.0"," ","  37.4"," ","  3.9",," 0.00","I","1030.0"," 6","999.9",,"029.3"," 6","  48.1"," 6"," 11.5"," 6","  3.2"," 6"
"13461099999","BAR, MJ","42.1","19.1","6.0","2002-01-13","  38.7"," 6","000000",,"999.9",,"  56.8"," ","  35.8"," "," 13.6",," 0.00","I","1026.8"," 6","999.9",,"026.5"," 6","  47.1"," 6"," 12.2"," 6","  5.8"," 6"
"13461099999","BAR, MJ","42.1","19.1","6.0","2002-01-14","  35.2"," 6","000000",,"999.9",,"  54.9"," ","  39.4"," ","  3.9",," 0.00","I","1025.0"," 6","999.9",,"024.4"," 6","  47.4"," 6"," 11.4"," 6","  2.9"," 6"
"13461099999","BAR, MJ","42.1","19.1","6.0","2002-01-15","  40.3"," 5","010000",,"999.9",,"  56.7"," ","  46.0","*","  7.8",," 0.02","E","1019.8"," 4","999.9",,"019.1"," 4","  51.4"," 5"," 10.3"," 5","  4.7"," 5"
"13461099999","BAR, MJ","42.1","19.1","6.0","2002-01-16","  40.1"," 5","010000",,"999.9",,"  53.8"," ","  43.5","*","  5.8",," 0.08","E","1020.3"," 5","999.9",,"019.6"," 5","  47.8"," 5"," 11.2"," 5","  3.9"," 5"
"13461099999","BAR, MJ","42.1","19.1","6.0","2002-01-17","  40.2"," 6","010000",,"999.9",,"  52.9"," ","  43.7"," ","  7.8",," 0.71","F","1019.3"," 6","999.9",,"018.4"," 6","  48.3"," 6","  7.4"," 6","  6.8"," 6"
"13461099999","BAR, MJ","42.1","19.1","6.0","2002-01-18","  43.2"," 4","010000",,"999.9",,"  50.0"," ","  45.1","*","  5.8",," 0.43","E","1018.4"," 4","999.9",,"017.7"," 4","  47.0"," 4","  7.5"," 4","  3.4"," 4"
"13461099999","BAR, MJ","42.1","19.1","6.0","2002-01-19","  39.1"," 5","000000",,"999.9",,"  54.0"," ","  42.8"," ","  5.8",," 0.02","E","1022.0"," 5","999.9",,"021.3"," 5","  47.4"," 5"," 11.6"," 5","  3.1"," 5"
"13461099999","BAR, MJ","42.1","19.1","6.0","2002-01-20","  41.0"," 4","000000",,"999.9",,"  53.1"," ","  41.5","*","  3.9",," 0.00","I","1026.0"," 4","999.9",,"025.3"," 4","  48.0"," 4"," 12.4"," 4","  2.9"," 4"
