DATE,RHUM,MAX,MIN,TEMP,WDSP
2002-01-01,0.321,5.0,1.3,2.4,9.4
2002-01-02,0.489,8.4,-2.0,2.9,2.0
2002-01-03,0.419,5.7,-2.3,1.7,4.3
2002-01-04,0.359,2.9,-2.6,0.4,6.7
2002-01-05,0.331,6.7,-1.6,2.2,5.4
2002-01-06,0.41,10.4,3.3,7.2,4.8
2002-01-07,0.387,12.7,0.6,7.7,3.4
2002-01-08,0.447,13.2,2.2,7.9,3.4
2002-01-09,0.515,13.6,3.8,8.1,3.4
2002-01-10,0.749,14.8,2.0,8.3,1.7
2002-01-11,0.744,14.5,2.8,8.7,1.5
2002-01-12,0.755,15.0,3.0,8.9,1.6
2002-01-13,0.723,13.8,2.1,8.4,3.0
2002-01-14,0.623,12.7,4.1,8.6,1.5
2002-01-15,0.656,13.7,7.8,10.8,2.4
2002-01-16,0.744,12.1,6.4,8.8,2.0
2002-01-17,0.735,11.6,6.5,9.1,3.5
2002-01-18,0.866,10.0,7.3,8.3,1.7
2002-01-19,0.723,12.2,6.0,8.6,1.6
2002-01-20,0.766,11.7,5.3,8.9,1.5
2002-01-21,0.787,13.5,3.0,8.8,1.8
2002-01-22,0.789,13.3,7.5,9.9,0.8
2002-01-23,0.767,12.2,5.7,10.1,0.8
2002-01-24,0.743,13.6,8.1,11.2,1.3
2002-01-25,0.72,14.9,10.4,12.3,1.8
2002-01-26,0.748,14.8,4.2,10.8,1.4
2002-01-27,0.768,14.7,5.6,10.2,1.2
2002-01-28,0.741,17.0,8.4,12.8,1.5
2002-01-29,0.747,17.8,6.2,13.2,1.2
2002-01-30,0.802,16.3,7.0,11.9,1.6
2002-01-31,0.756,14.5,9.2,12.5,1.0
2002-02-01,0.808,14.0,11.1,12.2,1.6
2002-02-02,0.697,17.8,8.2,12.5,1.8
2002-02-03,0.639,18.1,4.6,11.4,1.0
2002-02-04,0.733,16.7,5.4,10.9,1.2
2002-02-05,0.834,15.2,6.3,10.5,1.5
2002-02-06,0.751,14.7,9.5,12.6,3.4
2002-02-07,0.713,15.3,12.3,13.8,3.2
2002-02-08,0.755,17.8,6.6,12.0,1.2
2002-02-09,0.781,18.3,6.3,12.1,1.9
2002-02-10,0.529,17.1,9.5,13.1,3.3
2002-02-11,0.349,16.0,12.7,14.2,4.7
2002-02-12,0.539,16.3,6.4,12.7,1.7
2002-02-13,0.685,16.5,5.5,11.6,1.4
2002-02-14,0.661,15.8,5.0,11.2,1.8
2002-02-15,0.666,15.6,5.2,11.2,1.7
2002-02-16,0.679,15.5,5.4,11.1,1.7
2002-02-17,0.689,15.3,5.6,11.1,1.6
2002-02-18,0.698,15.2,5.8,11.0,1.6
2002-02-19,0.713,15.1,6.0,10.9,1.5
2002-02-20,0.723,14.9,6.2,10.9,1.5
2002-02-21,0.693,14.9,5.9,10.9,1.7
2002-02-22,0.661,14.9,5.7,11.0,2.0
2002-02-23,0.634,14.9,5.4,11.0,2.3
2002-02-24,0.608,14.9,5.1,11.1,2.5
