DATE,RHUM,MAX,MIN,TEMP,WDSP
2024-01-01,0.608,15.4,3.6,9.4,2.4
2024-01-02,0.619,16.2,7.1,12.1,2.9
2024-01-03,0.676,16.1,8.0,11.7,2.5
2024-01-04,0.604,14.8,5.9,11.2,2.4
2024-01-05,0.583,15.7,8.7,11.5,2.2
2024-01-06,0.294,13.9,7.2,10.3,4.7
2024-01-07,0.373,14.5,4.0,7.9,4.3
2024-01-08,0.256,9.9,2.2,5.3,5.4
2024-01-09,0.493,11.1,2.8,6.8,2.6
2024-01-10,0.824,11.0,3.3,7.4,3.2
2024-01-11,0.96,12.1,7.5,9.7,2.1
2024-01-12,0.44,13.3,6.2,8.9,5.2
2024-01-13,0.615,13.0,4.2,10.4,4.2
2024-01-14,0.653,14.7,11.3,13.8,5.7
2024-01-15,0.868,13.4,8.3,10.3,4.9
2024-01-16,0.805,13.2,7.3,10.2,4.6
2024-01-17,0.81,12.4,6.9,9.8,4.1
2024-01-18,0.792,12.4,6.5,8.6,3.3
2024-01-19,0.819,10.5,4.1,7.6,2.6
2024-01-20,0.73,17.1,8.4,14.7,4.4
2024-01-21,0.516,18.8,10.0,15.2,5.3
2024-01-22,0.736,14.9,10.4,12.5,4.6
2024-01-23,0.707,14.8,6.3,10.3,3.1
2024-01-24,0.674,13.3,8.4,10.7,5.0
2024-01-25,0.571,13.0,6.7,9.9,4.4
2024-01-26,0.374,10.3,5.2,7.3,7.4
2024-01-27,0.427,12.0,3.5,6.7,4.7
2024-01-28,0.622,12.4,2.4,8.1,2.5
2024-01-29,0.448,15.3,5.5,10.5,3.3
2024-01-30,0.709,14.3,4.4,8.9,2.4
2024-01-31,0.654,14.9,4.2,10.0,2.9
2024-02-01,0.515,10.5,4.6,7.9,7.8
2024-02-02,0.364,14.0,4.5,9.4,4.5
2024-02-03,0.329,12.2,7.2,9.3,4.8
2024-02-04,0.454,12.3,2.5,7.8,2.8
2024-02-05,0.763,11.7,5.5,10.6,3.2
2024-02-06,0.641,16.6,8.1,12.4,2.7
2024-02-07,0.699,13.8,5.8,11.2,7.4
2024-02-08,0.327,11.1,6.4,8.6,4.9
2024-02-09,0.585,14.0,3.1,8.9,2.5
2024-02-10,0.707,15.7,4.8,10.5,2.4
2024-02-11,0.721,14.8,5.4,9.9,2.9
2024-02-12,0.41,16.8,4.6,12.3,5.8
2024-02-13,0.602,12.7,7.5,10.6,2.6
2024-02-14,0.662,15.0,5.2,11.6,2.8
2024-02-15,0.762,14.6,9.6,13.1,4.7
2024-02-16,0.869,11.9,9.4,10.7,3.0
2024-02-17,0.839,13.4,6.6,10.2,2.4
2024-02-18,0.774,15.5,5.7,11.1,3.0
2024-02-19,0.626,18.2,6.0,13.4,2.7
2024-02-20,0.866,15.7,11.2,13.9,2.4
2024-02-21,0.843,15.8,9.7,13.3,2.7
2024-02-22,0.592,13.8,5.9,10.0,8.1
2024-02-23,0.28,16.8,9.4,12.9,7.2
2024-02-24,0.351,14.5,5.5,11.5,4.0
2024-02-25,0.501,14.7,4.2,9.7,3.0
2024-02-26,0.367,17.0,4.8,12.1,5.1
2024-02-27,0.517,12.5,6.3,10.1,4.7
2024-02-28,0.423,13.8,5.6,9.5,5.0
2024-03-01,0.438,14.1,7.6,12.4,5.0
2024-03-02,0.499,17.7,3.9,11.3,5.4
2024-03-03,0.558,17.0,10.6,12.4,3.4
2024-03-04,0.628,16.0,10.1,12.3,2.6
2024-03-05,0.652,14.2,8.1,11.2,2.1
2024-03-06,0.572,16.4,7.3,11.6,3.9
2024-03-07,0.278,7.8,3.5,5.6,7.9
2024-03-08,0.256,11.0,2.7,5.9,5.1
2024-03-09,0.401,10.7,2.8,6.4,3.9
2024-03-10,0.609,13.5,1.9,7.9,2.9
2024-03-11,0.71,15.0,3.7,9.4,3.0
2024-03-12,0.666,16.7,5.7,11.3,2.6
2024-03-13,0.528,19.0,8.3,14.2,2.6
2024-03-14,0.535,18.2,12.8,15.3,2.6
2024-03-15,0.497,21.6,10.4,15.9,3.3
2024-03-16,0.547,21.8,9.3,15.6,3.4
2024-03-17,0.755,17.6,12.4,15.3,4.6
2024-03-18,0.821,17.0,11.5,13.9,2.2
2024-03-19,0.562,18.0,10.6,13.9,3.9
2024-03-20,0.549,13.3,8.2,10.7,6.7
2024-03-21,0.398,18.1,10.2,13.2,5.7
2024-03-22,0.37,17.9,10.1,13.2,4.6
2024-03-23,0.385,17.6,10.1,13.7,4.9
2024-03-24,0.505,19.4,9.4,15.1,3.9
2024-03-25,0.767,18.4,7.0,12.8,2.5
2024-03-26,0.736,15.7,9.1,12.6,3.0
2024-03-27,0.748,18.3,9.4,13.6,2.3
2024-03-28,0.805,16.3,9.3,14.0,3.4
2024-03-29,0.93,14.1,5.1,12.3,2.6
2024-03-30,0.778,18.1,9.7,13.5,2.8
2024-03-31,0.656,19.9,9.1,15.2,2.7
2024-04-01,0.688,18.9,6.4,15.2,3.0
2024-04-02,0.805,18.8,8.3,13.9,2.5
2024-04-03,0.803,16.9,9.9,12.7,2.7
2024-04-04,0.718,17.4,8.8,13.9,3.7
2024-04-05,0.501,18.0,12.1,14.7,4.0
2024-04-06,0.703,19.0,7.5,13.2,2.5
2024-04-07,0.666,18.6,9.5,15.4,3.5
2024-04-08,0.501,21.5,11.8,17.4,2.8
2024-04-09,0.975,16.3,13.4,14.8,3.3
2024-04-10,0.669,20.1,11.2,16.9,3.2
2024-04-11,0.656,21.3,12.6,19.0,2.7
2024-04-12,0.801,21.9,11.4,18.4,2.2
2024-04-13,0.792,19.3,12.8,15.8,2.2
2024-04-14,0.704,18.6,7.4,14.1,2.2
2024-04-15,0.763,18.7,9.4,13.8,4.2
2024-04-16,0.779,18.1,9.2,13.8,3.7
2024-04-17,0.722,16.1,10.8,13.4,2.8
2024-04-18,0.785,16.8,10.8,14.3,2.8
2024-04-19,0.673,20.6,13.0,16.8,2.7
2024-04-20,0.611,23.7,12.9,19.4,2.3
2024-04-21,0.682,23.0,12.9,18.8,1.9
2024-04-22,0.756,18.4,11.9,15.4,3.0
2024-04-23,0.635,21.3,12.1,17.3,2.5
2024-04-24,0.778,21.5,11.3,16.6,2.8
2024-04-25,0.493,22.2,14.1,18.2,3.8
2024-04-26,0.419,21.3,13.8,17.5,4.2
2024-04-27,0.392,21.4,13.9,17.9,3.2
2024-04-28,0.475,22.0,14.4,18.6,3.3
2024-04-29,0.741,19.4,9.7,15.3,3.0
2024-04-30,0.66,20.4,11.7,17.1,2.8
2024-05-01,0.69,22.7,13.2,18.4,2.3
2024-05-02,0.751,22.6,12.0,18.4,3.5
2024-05-03,0.434,25.3,14.6,20.7,5.0
2024-05-04,0.426,23.3,16.8,19.9,4.5
2024-05-05,0.524,22.2,13.8,19.2,4.3
2024-05-06,0.872,17.9,11.8,13.8,2.7
2024-05-07,0.652,21.9,11.0,17.2,3.4
2024-05-08,0.556,22.4,13.4,19.3,4.3
2024-05-09,0.75,22.2,11.6,17.9,2.7
2024-05-10,0.489,23.0,13.3,20.3,4.0
2024-05-11,0.478,24.1,16.1,21.1,4.0
2024-05-12,0.664,23.2,12.1,18.7,2.7
2024-05-13,0.695,23.9,12.3,19.0,2.8
2024-05-14,0.88,19.8,14.4,17.1,2.5
2024-05-15,0.796,23.3,12.1,18.9,3.0
2024-05-16,0.757,23.4,13.8,19.6,2.3
2024-05-17,0.73,23.7,14.1,20.2,2.2
2024-05-18,0.534,26.7,14.7,22.0,2.2
2024-05-19,0.595,26.1,16.9,22.6,2.8
2024-05-20,0.829,26.3,19.4,20.4,3.3
2024-05-21,0.731,23.8,18.3,20.9,3.0
2024-05-22,0.728,23.1,15.3,19.4,3.2
2024-05-23,0.726,23.4,5.1,20.6,2.3
2024-05-24,0.73,23.7,14.8,20.3,2.3
2024-05-25,0.665,25.2,13.8,21.2,2.8
2024-05-26,0.752,26.8,15.4,22.3,2.0
2024-05-27,0.741,28.8,17.0,24.0,2.0
2024-05-28,0.633,29.1,19.2,25.6,2.0
2024-05-29,0.651,29.9,18.1,24.9,1.9
2024-05-30,0.608,29.0,19.3,26.5,2.4
2024-05-31,0.696,27.8,17.2,23.9,3.2
2024-06-01,0.739,22.0,14.6,17.4,3.0
2024-06-02,0.615,23.6,11.9,19.4,3.3
2024-06-03,0.514,26.0,17.3,22.1,4.6
2024-06-04,0.551,26.0,18.0,22.8,4.3
2024-06-05,0.751,25.5,15.1,21.6,3.0
2024-06-06,0.734,27.1,16.5,22.4,2.7
2024-06-07,0.552,29.0,17.7,24.8,3.7
2024-06-08,0.479,32.1,19.6,27.1,3.9
