DATE,RHUM,MAX,MIN,TEMP,WDSP
2024-01-01,0.562,5.2,-8.5,-1.6,2.0
2024-01-02,0.734,6.5,-6.3,0.3,2.2
2024-01-03,0.986,2.2,-0.6,0.8,1.2
2024-01-04,0.986,2.9,1.2,2.1,2.3
2024-01-05,0.952,7.0,-0.5,3.8,1.5
2024-01-06,0.993,7.9,4.2,5.8,2.0
2024-01-07,0.784,6.0,-0.5,3.5,3.4
2024-01-08,0.814,9.9,-1.1,3.9,2.1
2024-01-09,0.651,6.4,2.7,4.7,1.2
2024-01-10,0.499,9.5,6.2,8.8,4.7
2024-01-11,0.485,9.9,8.4,8.9,6.3
2024-01-12,0.51,10.4,3.5,6.3,2.7
2024-01-13,0.986,4.7,0.4,2.4,1.9
2024-01-14,0.993,3.7,-2.6,0.3,1.4
2024-01-15,0.703,5.7,1.4,3.5,2.1
2024-01-16,0.752,2.7,-0.2,0.8,4.3
2024-01-17,0.519,-0.4,-3.7,-1.9,5.9
2024-01-18,0.47,-3.0,-5.9,-4.8,6.4
2024-01-19,0.529,2.2,-10.1,-4.1,2.7
2024-01-20,0.45,6.2,-9.3,-1.6,2.3
2024-01-21,0.614,3.7,-6.1,-0.8,2.4
2024-01-22,0.325,0.7,-5.9,-2.4,5.0
2024-01-23,0.275,5.7,-8.8,-1.6,2.3
2024-01-24,0.63,5.2,-3.2,1.8,3.4
2024-01-25,0.588,7.9,-2.8,3.4,2.4
2024-01-26,0.808,13.9,0.8,7.8,2.3
2024-01-27,0.926,11.5,1.3,5.8,2.6
2024-01-28,0.965,6.5,0.1,4.0,1.3
2024-01-29,0.513,10.7,3.7,7.1,1.8
2024-01-30,0.839,12.4,-1.8,5.3,2.2
2024-01-31,0.543,6.2,2.3,5.4,3.2
2024-02-01,0.567,8.9,-5.7,-1.2,0.9
2024-02-02,0.619,9.6,-5.2,0.9,1.5
2024-02-03,0.659,10.2,-1.5,3.9,2.5
2024-02-04,0.681,11.2,1.8,7.1,2.9
2024-02-05,0.637,18.9,2.9,8.6,2.0
2024-02-06,0.655,15.4,-0.8,6.2,1.4
2024-02-07,0.885,5.7,-2.4,2.2,0.6
2024-02-08,0.979,6.8,4.9,5.9,3.3
2024-02-09,0.672,9.6,2.6,5.4,3.9
2024-02-10,0.406,3.2,-3.8,0.6,4.5
2024-02-11,0.675,1.0,-6.0,-2.6,1.4
2024-02-12,0.446,-0.6,-8.7,-5.2,7.4
2024-02-13,0.349,-2.8,-10.1,-6.6,6.6
2024-02-14,0.497,4.1,-0.5,1.7,4.4
2024-02-15,0.695,9.6,-4.0,2.1,1.2
2024-02-16,0.5,4.5,1.2,2.5,3.6
2024-02-17,0.475,3.8,-1.1,0.6,5.6
2024-02-18,0.533,8.0,-7.0,0.1,2.3
2024-02-19,0.787,3.8,0.1,1.4,0.9
2024-02-20,0.632,6.8,-2.1,2.6,2.9
2024-02-21,0.586,8.0,-3.3,2.6,2.6
2024-02-22,0.965,6.0,0.2,3.9,2.4
2024-02-23,0.927,9.1,5.1,6.4,2.5
2024-02-24,0.952,6.4,3.6,5.4,3.0
2024-02-25,0.507,8.4,2.6,5.1,3.2
2024-02-26,0.98,9.7,1.6,7.5,5.8
2024-02-27,0.915,10.1,6.8,7.5,3.7
2024-02-28,0.839,7.0,4.2,5.2,4.8
2024-03-01,0.783,8.2,4.1,6.2,2.5
2024-03-02,0.98,9.5,6.2,8.2,5.2
2024-03-03,0.769,11.3,2.4,7.7,2.7
