DATE,RHUM,MAX,MIN,TEMP,WDSP
2024-01-01,0.686,12.6,-0.2,5.0,0.8
2024-01-02,0.753,14.2,2.1,7.8,0.9
2024-01-03,0.709,15.7,5.0,9.0,1.1
2024-01-04,0.612,16.6,3.0,9.2,1.4
2024-01-05,0.573,14.7,5.9,10.7,1.6
2024-01-06,0.331,12.1,6.2,9.1,3.9
2024-01-07,0.44,11.5,2.0,5.5,3.1
2024-01-08,0.319,7.2,1.2,4.1,3.7
2024-01-09,0.519,8.4,0.0,3.8,0.9
2024-01-10,0.8,5.6,-1.7,2.4,0.8
2024-01-11,0.933,9.2,3.4,6.2,1.2
2024-01-12,0.372,12.9,5.2,8.5,4.1
2024-01-13,0.767,4.7,1.3,3.4,1.2
2024-01-14,0.811,13.8,4.8,10.1,3.2
2024-01-15,0.867,13.4,6.8,8.8,3.6
2024-01-16,0.896,12.0,6.2,8.1,2.5
2024-01-17,0.959,6.7,4.8,5.7,1.3
2024-01-18,0.92,7.6,5.3,6.3,1.5
2024-01-19,0.804,7.3,2.0,5.5,1.4
2024-01-20,0.98,10.0,5.3,7.7,1.0
2024-01-21,0.892,13.3,8.3,10.3,1.6
2024-01-22,0.922,11.9,7.2,9.3,1.5
2024-01-23,0.854,11.6,4.8,7.9,1.4
2024-01-24,0.927,8.6,6.6,7.4,1.9
2024-01-25,0.667,11.7,4.6,7.3,3.8
2024-01-26,0.403,8.2,4.0,5.8,5.5
2024-01-27,0.539,10.2,-0.7,3.9,1.6
2024-01-28,0.638,9.5,0.1,5.3,1.1
2024-01-29,0.548,14.3,3.5,8.7,2.0
2024-01-30,0.585,13.1,1.7,7.3,1.2
2024-01-31,0.538,16.7,1.5,8.1,1.5
2024-02-01,0.792,9.2,0.5,4.6,0.3
2024-02-02,0.377,13.4,4.0,9.1,2.2
2024-02-03,0.452,14.3,0.5,7.1,1.3
2024-02-04,0.393,12.0,4.9,7.7,2.6
2024-02-05,0.392,13.8,2.3,7.3,1.3
2024-02-06,0.626,9.5,-1.4,3.8,0.6
2024-02-07,0.96,11.0,4.6,7.4,0.6
2024-02-08,0.551,11.9,0.2,5.3,0.9
2024-02-09,0.569,10.1,-0.6,4.4,1.0
2024-02-10,0.54,10.1,-0.3,4.4,1.4
2024-02-11,0.446,10.8,0.4,5.2,2.2
2024-02-12,0.455,11.4,1.1,5.8,2.2
2024-02-13,0.96,12.3,7.7,9.7,2.6
2024-02-14,0.509,15.1,7.1,11.2,2.2
2024-02-15,0.535,16.5,5.2,9.7,0.3
2024-02-16,0.495,12.8,7.6,11.2,2.7
2024-02-17,0.452,16.2,8.5,11.9,2.2
2024-02-18,0.64,15.7,5.4,9.8,0.6
2024-02-19,0.96,10.6,7.3,8.4,0.7
2024-02-20,0.825,18.6,8.5,12.1,0.7
2024-02-21,0.716,20.3,6.7,12.7,0.6
2024-02-22,0.881,14.4,7.4,10.9,0.4
2024-02-23,0.704,19.8,9.9,14.0,1.0
2024-02-24,0.465,20.2,9.9,14.0,1.4
2024-02-25,0.929,12.0,8.5,9.8,0.3
2024-02-26,0.942,13.3,8.6,10.6,1.7
2024-02-27,0.618,13.5,7.0,10.2,2.3
2024-02-28,0.548,17.4,5.6,8.8,0.8
2024-03-01,0.631,11.4,3.7,8.2,1.8
2024-03-02,0.827,8.4,2.1,5.3,2.1
2024-03-03,0.654,12.2,6.0,9.9,1.5
2024-03-04,0.71,14.6,6.7,9.7,1.5
2024-03-05,0.786,11.6,3.4,7.9,1.2
2024-03-06,0.451,17.2,5.9,10.3,3.7
2024-03-07,0.339,6.6,2.4,4.7,5.2
2024-03-08,0.285,9.9,2.2,4.9,4.9
2024-03-09,0.428,10.4,-2.0,4.7,2.0
2024-03-10,0.562,13.0,-1.0,6.2,1.2
2024-03-11,0.561,17.7,0.8,9.2,1.3
2024-03-12,0.597,17.9,3.2,10.4,1.5
2024-03-13,0.511,18.3,4.4,11.9,1.6
2024-03-14,0.605,18.1,9.3,13.6,1.4
2024-03-15,0.639,20.4,10.3,13.6,1.8
2024-03-16,0.781,17.8,6.7,11.8,1.8
2024-03-17,0.795,18.6,10.8,14.1,2.4
2024-03-18,0.841,15.5,8.6,12.2,1.4
2024-03-19,0.508,16.9,10.5,13.6,3.6
2024-03-20,0.536,12.6,8.5,10.2,4.1
2024-03-21,0.436,16.3,9.0,11.9,4.3
2024-03-22,0.407,16.0,10.2,12.4,4.5
2024-03-23,0.346,19.2,9.5,14.1,3.6
2024-03-24,0.408,21.2,10.5,15.6,2.2
2024-03-25,0.569,21.1,5.9,13.7,2.1
2024-03-26,0.846,14.4,8.3,11.6,1.3
2024-03-27,0.777,18.2,8.8,12.7,1.3
2024-03-28,0.923,13.3,8.6,11.3,1.4
2024-03-29,0.917,13.1,10.0,11.7,1.2
2024-03-30,0.632,20.0,8.6,14.3,1.6
2024-03-31,0.476,23.5,9.0,16.9,2.0
2024-04-01,0.655,19.9,9.7,14.7,2.4
2024-04-02,0.636,20.2,9.5,14.0,1.6
2024-04-03,0.595,20.2,9.6,14.5,1.5
2024-04-04,0.479,22.0,7.9,15.4,1.9
2024-04-05,0.685,17.9,10.3,13.6,2.4
2024-04-06,0.518,17.4,8.5,13.0,2.9
2024-04-07,0.409,19.8,8.9,15.2,3.7
2024-04-08,0.435,22.2,8.2,15.8,1.9
2024-04-09,0.441,23.2,8.8,16.9,1.5
2024-04-10,0.373,22.5,14.1,18.1,3.3
2024-04-11,0.527,18.3,11.6,15.0,2.5
2024-04-12,0.887,14.8,10.7,11.9,2.1
2024-04-13,0.93,13.4,10.9,12.0,1.4
2024-04-14,0.894,16.9,10.1,12.9,1.1
2024-04-15,0.895,16.6,11.4,13.8,1.2
2024-04-16,0.9,14.8,12.1,13.2,1.8
2024-04-17,0.636,21.3,11.6,16.0,2.1
2024-04-18,0.607,24.7,9.6,17.6,1.4
2024-04-19,0.937,17.4,12.9,14.7,1.9
2024-04-20,0.791,20.0,10.6,15.2,1.5
2024-04-21,0.623,23.1,8.0,16.0,1.7
2024-04-22,0.58,23.2,8.9,16.5,1.7
2024-04-23,0.607,20.4,11.0,16.2,1.3
2024-04-24,0.633,23.2,12.0,16.7,1.6
