"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","DEWP","DEWP_ATTRIBUTES","FRSHTT","FRSHTT_ATTRIBUTES","GUST","GUST_ATTRIBUTES","MAX","MAX_ATTRIBUTES","MIN","MIN_ATTRIBUTES","MXSPD","MXSPD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SLP","SLP_ATTRIBUTES","SNDP","SNDP_ATTRIBUTES","STP","STP_ATTRIBUTES","TEMP","TEMP_ATTRIBUTES","VISIB","VISIB_ATTRIBUTES","WDSP","WDSP_ATTRIBUTES"
"13363099999","PLEVLJA, MJ","43.35","19.35","788.0","2002-01-01","  14.1"," 6","001000",,"999.9",,"  24.8"," ","   5.5","*"," 11.7",," 0.28","E","9999.9"," 0"," 10.6",,"999.9"," 0","  18.0"," 6","  8.7"," 6","  2.6"," 6"
"13363099999","PLEVLJA, MJ","43.35","19.35","788.0","2002-01-02","   5.4"," 7","100000",,"999.9",,"  21.9"," ","   2.7","*","999.9",," 0.00","I","9999.9"," 0","  9.8",,"999.9"," 0","   9.8"," 7"," 10.7"," 7","  0.0"," 7"
"13363099999","PLEVLJA, MJ","43.35","19.35","788.0","2002-01-03","   9.0"," 5","101000",,"999.9",,"  20.5","*","   9.3","*","  3.9",," 0.00","A","9999.9"," 0","999.9",,"999.9"," 0","  14.8"," 5","  8.8"," 5","  1.2"," 5"
"13363099999","PLEVLJA, MJ","43.35","19.35","788.0","2002-01-04","   9.9"," 6","001000",,"999.9",,"  18.0"," ","   7.7"," ","  1.9",," 0.03","E","9999.9"," 0","  9.1",,"999.9"," 0","  13.6"," 6","  9.3"," 6","  1.0"," 6"
"13363099999","PLEVLJA, MJ","43.35","19.35","788.0","2002-01-05","  10.7"," 7","000000",,"999.9",,"  22.5","*","  11.1"," ","999.9",," 0.00","I","9999.9"," 0","  9.1",,"999.9"," 0","  15.7"," 7"," 11.5"," 7","  0.0"," 7"
"13363099999","PLEVLJA, MJ","43.35","19.35","788.0","2002-01-06","  16.5"," 8","000000",,"999.9",,"  28.6"," ","  12.9","*","  1.9",," 0.00","I","9999.9"," 0","  7.1",,"999.9"," 0","  20.7"," 8"," 12.4"," 8","  0.5"," 8"
"13363099999","PLEVLJA, MJ","43.35","19.35","788.0","2002-01-07","  13.1"," 7","100000",,"999.9",,"  28.2"," ","   9.7"," ","999.9",," 0.00","I","9999.9"," 0","  6.7",,"999.9"," 0","  17.4"," 7","  5.4"," 7","  0.0"," 7"
"13363099999","PLEVLJA, MJ","43.35","19.35","788.0","2002-01-09","  23.5"," 7","000000",,"999.9",,"  39.0"," ","  17.6","*","999.9",," 0.00","I","9999.9"," 0","  6.7",,"999.9"," 0","  27.4"," 8"," 10.4"," 8","  0.0"," 8"
"13363099999","PLEVLJA, MJ","43.35","19.35","788.0","2002-01-10","  14.4"," 7","100000",,"999.9",,"  35.4"," ","  12.6"," ","999.9",," 0.00","I","9999.9"," 0","  5.9",,"999.9"," 0","  17.6"," 7","  5.4"," 7","  0.0"," 7"
"13363099999","PLEVLJA, MJ","43.35","19.35","788.0","2002-01-11","  16.0"," 8","100000",,"999.9",,"  31.8"," ","  12.9"," ","999.9",," 0.00","I","9999.9"," 0","  5.9",,"999.9"," 0","  18.5"," 8","  3.4"," 8","  0.0"," 8"
"13363099999","PLEVLJA, MJ","43.35","19.35","788.0","2002-01-12","  15.3"," 8","100000",,"999.9",,"  32.2"," ","  14.0"," ","999.9",," 0.00","I","9999.9"," 0","  5.9",,"999.9"," 0","  19.4"," 8","  3.7"," 8","  0.0"," 8"
"13363099999","PLEVLJA, MJ","43.35","19.35","788.0","2002-01-13","  15.6"," 7","100000",,"999.9",,"  25.2"," ","  13.8"," ","999.9",," 0.00","I","9999.9"," 0","  5.9",,"999.9"," 0","  18.2"," 7","  0.2"," 7","  0.0"," 7"
"13363099999","PLEVLJA, MJ","43.35","19.35","788.0","2002-01-14","  15.2"," 8","100000",,"999.9",,"  25.0"," ","  15.3"," ","999.9",," 0.00","I","9999.9"," 0","  5.9",,"999.9"," 0","  18.6"," 8","  4.7"," 8","  0.0"," 8"
"13363099999","PLEVLJA, MJ","43.35","19.35","788.0","2002-01-15","  17.1"," 6","100000",,"999.9",,"  28.6"," ","  15.1","*","999.9",," 0.00","I","9999.9"," 0","  5.1",,"999.9"," 0","  20.9"," 6","  2.5"," 6","  0.0"," 6"
"13363099999","PLEVLJA, MJ","43.35","19.35","788.0","2002-01-16","  21.9"," 6","000000",,"999.9",,"  36.1"," ","  21.6","*","999.9",," 0.00","I","9999.9"," 0","  4.7",,"999.9"," 0","  26.7"," 6","  8.3"," 6","  0.0"," 6"
"13363099999","PLEVLJA, MJ","43.35","19.35","788.0","2002-01-17","  28.0"," 6","001000",,"999.9",,"  38.7"," ","  23.4"," ","999.9",," 0.04","F","9999.9"," 0","  5.1",,"999.9"," 0","  31.1"," 6","  4.5"," 6","  0.0"," 6"
"13363099999","PLEVLJA, MJ","43.35","19.35","788.0","2002-01-18","  23.3"," 4","001000",,"999.9",,"  31.5"," ","  27.0","*","999.9",," 0.04","F","9999.9"," 0","  5.1",,"999.9"," 0","  28.5"," 4","  6.5"," 4","  0.0"," 4"
"13363099999","PLEVLJA, MJ","43.35","19.35","788.0","2002-01-19","  22.2"," 5","000000",,"999.9",,"  37.2"," ","  19.9","*","999.9",," 0.00","I","9999.9"," 0","  5.1",,"999.9"," 0","  28.9"," 5","  9.3"," 5","  0.0"," 5"
