DATE,RHUM,MAX,MIN,TEMP,WDSP
2024-01-01,0.879,4.8,-10.0,-4.2,0.6
2024-01-02,0.856,8.0,0.2,4.0,1.5
2024-01-03,0.877,3.1,-1.2,0.0,0.9
2024-01-04,0.832,7.0,-5.7,-0.4,0.0
2024-01-05,0.895,3.9,-5.7,-1.7,0.0
2024-01-06,0.903,4.1,-3.1,-0.3,0.0
2024-01-07,0.907,-0.6,-5.6,-4.1,0.0
2024-01-08,0.914,2.0,-5.8,-3.1,0.0
2024-01-09,0.914,-0.2,-4.3,-3.1,0.0
2024-01-10,0.921,1.2,-5.3,-3.6,0.0
2024-01-11,0.888,3.8,-5.0,-2.1,0.0
2024-01-12,0.923,7.1,-3.0,-0.3,0.0
2024-01-13,0.791,10.4,-4.7,0.6,0.3
2024-01-14,0.844,5.9,-4.6,-1.1,0.0
2024-01-15,0.921,0.3,-5.9,-3.7,0.0
2024-01-16,0.899,3.2,-9.5,-5.3,0.0
2024-01-17,0.895,3.4,-7.1,-1.8,0.0
2024-01-18,0.897,5.3,-1.2,1.2,0.0
2024-01-19,0.72,15.2,1.1,7.0,0.8
2024-01-20,0.811,14.6,2.5,6.1,0.0
2024-01-21,0.738,16.4,-1.2,5.3,0.4
2024-01-22,0.782,14.6,-1.0,5.4,1.9
2024-01-23,0.63,12.5,7.4,11.2,5.3
2024-01-24,0.815,6.9,2.2,4.6,2.9
2024-01-25,0.74,8.4,0.9,3.3,0.6
2024-01-26,0.853,6.8,-1.9,1.1,0.0
2024-01-27,0.789,5.9,-4.5,-1.1,0.4
2024-01-28,0.671,5.3,-6.4,-1.9,0.3
2024-01-29,0.789,6.9,-6.6,-0.7,0.4
2024-01-30,0.76,9.6,-1.6,2.6,0.0
2024-01-31,0.679,13.3,-5.0,1.6,0.0
2024-02-01,0.582,10.0,1.7,4.1,2.0
2024-02-02,0.873,11.9,-0.4,3.0,1.3
2024-02-03,0.871,12.6,-2.2,0.9,1.8
2024-02-04,0.802,4.8,-5.3,-0.4,1.4
2024-02-05,0.862,15.2,-1.0,3.6,1.3
2024-02-06,0.866,13.0,-1.7,1.6,1.6
2024-02-07,0.586,16.6,3.0,9.2,2.8
2024-02-08,0.843,10.6,3.9,8.2,3.0
